Tweet ID,Username,Texto
1919904324211085736,ads_magnet,@O_B_Natiello_ 📝 Hola. Busco empleo de casero. Tengo referencias y certificado de buena conducta. WhatsApp: +54-9-11-3560-8277. Gracias. Orlando.  Recomendación: Social Media Coordinator en Mondelez International
1919904314765553701,ads_magnet,@payde_lim0ne 📝 BUSCO EMPLEO (medio tiempo) de vende chelas en el concierto de Bad Bunny 🗣️  Recomendación: Sales Representative en McDonald's
1919904304455893477,ads_magnet,"@ivangamertnt 📝 @_Valent666 No tiene mucho que ver y no se si sepas ya, pero cuando busco mods en Curseforge, me apareció como primer resultado tu mod, sin ningún filtro ni nada, felicidades por el trabajo! https://t.co/ea2i7x2G5t  Recomendación: Software Developer en Starbucks"
1919904294909686054,ads_magnet,"@444nccc 📝 busco par de personas pa un trabajo, Marciniak compra el plan premium de securitas direct que t voy a partir la casa hdp  Recomendación: Financial Planner en Old Republic International"
1919904285497741328,ads_magnet,@rubioyguachaca 📝 Hola buenas tardes busco trabajo disponibilidad inmediata dentro de todo chile y fuera del pais soy cocinero de antemano muchas gracias agradeceria me ayuden a compartir 🙏  Recomendación: Database Developer en US Foods Holding
1919904276077240446,ads_magnet,"@TinchoBrook 📝 @Pablu1978 Imaginate que tengo 61 años y busco trabajo..., ¿que me ofrecen a mi???: lo mismo por turnos de 12 horas!!!.  Recomendación: Event Manager en Cairn Energy"
1919904266434511005,ads_magnet,"@2aAbraham 📝 @SaraHotwife3 16cm pero hace su trabajo, busco experiencia https://t.co/raQ2iVwsWV  Recomendación: UX/UI Designer en Ryder System"
1919904256989032789,ads_magnet,"@erik9645 📝 Buenoo, busco trabajo jaja  Recomendación: UX/UI Designer en Ryder System"
1919899286575141042,erik9645,"Buenoo, busco trabajo jaja"
1919897303231398367,2aAbraham,"@SaraHotwife3 16cm pero hace su trabajo, busco experiencia https://t.co/AaIdcED8EV"
